date,sta,flight_no,origin,origin_code,airline_name,aircraft_type,tail_reg,icao_cat,cbp_flag,actual_landing,status_source,gate,Status
13-Apr-26,08:00,FR2972,Kaunas (KUN),KUN,Ryanair,B38M,SP-RZU,C,FALSE,07:35,Actual,108,Arrival
13-Apr-26,08:05,BA4460,London (LCY),LCY,British Airways,E190,G-LCYO,C,FALSE,07:40,Actual,423,Arrival
13-Apr-26,08:05,LH976,Frankfurt (FRA),FRA,Lufthansa (Star Alliance Livery),A320,D-AIZH,C,FALSE,07:49,Actual,116,Arrival
13-Apr-26,08:15,AC800,Toronto (YYZ),YYZ,Air Canada,B789,C-FGFZ,E,TRUE,07:59,Actual,513,Arrival
13-Apr-26,08:15,EI86,Cleveland (CLE),CLE,Aer Lingus,A21N,EI-LRE,C,TRUE,07:52,Actual,501,Arrival
13-Apr-26,08:15,EI88,Minneapolis (MSP),MSP,Aer Lingus,A21N,EI-XLR,C,TRUE,08:50,Actual,502,Arrival
13-Apr-26,08:20,AF1616,Paris (CDG),CDG,Air France,BCS3,F-HPNZ,C,FALSE,08:06,Actual,115,Arrival
13-Apr-26,08:20,KL1135,Amsterdam (AMS),AMS,KLM,E295,PH-NXG,C,FALSE,08:03,Actual,118,Arrival
13-Apr-26,08:25,EI82,Indianapolis (IND),IND,Aer Lingus,A21N,EI-XLU,C,FALSE,08:27,Actual,503,Arrival
13-Apr-26,08:25,EI136,Boston (BOS),BOS,Aer Lingus,A332,EI-DAA,E,TRUE,07:24,Actual,504,Arrival
13-Apr-26,08:30,FR553,Manchester (MAN),MAN,Ryanair,B38M,EI-IHY,C,FALSE,08:15,Actual,207,Arrival
13-Apr-26,08:45,DL176,Atlanta (ATL),ATL,Delta Air Lines,B764,N839MH,D,TRUE,08:23,Actual,503,Arrival
13-Apr-26,08:50,EI106,New York (JFK),JFK,Aer Lingus,A21N,EI-XLW,C,TRUE,08:44,Actual,403,Arrival
13-Apr-26,08:50,EA3401,Donegal (CFN),CFN,Aer Lingus Regional,AT76,EI-GZV,B,FALSE,08:37,Actual,421,Arrival
13-Apr-26,08:55,EI118,Washington (IAD),IAD,Aer Lingus,A21N,EI-LRD,C,TRUE,08:19,Actual,415,Arrival
13-Apr-26,08:55,AY1381,Helsinki (HEL),HEL,Finnair,E190,OH-LKI,C,FALSE,08:42,Actual,409,Arrival
13-Apr-26,08:55,FR447,Liverpool (LPL),LPL,Ryanair,B738,EI-GSK,C,FALSE,08:38,Actual,203,Arrival
13-Apr-26,09:00,EI151,London (LHR),LHR,Aer Lingus,A20N,EI-NSE,C,FALSE,08:40,Actual,403,Arrival
13-Apr-26,09:05,IB1881,Madrid (MAD),MAD,Iberia Express,A320,EC-LVQ,C,FALSE,08:47,Actual,110,Arrival
13-Apr-26,09:10,FR6186,Palma de Mallorca (PMI),PMI,Lauda Europe,A320,9H-LMC,C,FALSE,08:54,Actual,201,Arrival
13-Apr-26,09:15,DL44,New York (JFK),JFK,Delta Air Lines,B763,N178DZ,D,TRUE,08:30,Actual,504,Arrival
13-Apr-26,09:15,EI203,Manchester (MAN),MAN,Aer Lingus,A320,EI-DEJ,C,FALSE,09:19,Actual,408,Arrival
13-Apr-26,09:15,FR7389,Lisbon (LIS),LIS,Ryanair,B38M,EI-IKK,C,FALSE,09:09,Actual,209,Arrival
13-Apr-26,09:20,EI120,Orlando (MCO),MCO,Aer Lingus,A333,EI-EIM,E,TRUE,09:01,Actual,511,Arrival
13-Apr-26,09:20,EI263,Birmingham (BHX),BHX,Aer Lingus,A320,EI-DEL,C,FALSE,09:37,Actual,416,Arrival
13-Apr-26,09:20,FR275,Glasgow (GLA),GLA,Ryanair,B738,9H-QAD,C,FALSE,09:17,Actual,201,Arrival
13-Apr-26,09:20,VY8720,Barcelona (BCN),BCN,Vueling,A320,EC-MJC,C,FALSE,09:03,Actual,111,Arrival
13-Apr-26,09:25,FR505,Bristol (BRS),BRS,Ryanair,B738,9H-QCT,C,FALSE,09:28,Actual,207,Arrival
13-Apr-26,09:35,AA724,Charlotte (CLT),CLT,American Airlines,B772,N756AM,E,TRUE,09:06,Actual,517,Arrival
13-Apr-26,09:35,FR157,Leeds (LBA),LBA,Ryanair,B38M,EI-IFV,C,FALSE,09:24,Actual,202,Arrival
13-Apr-26,09:35,FR661,Birmingham (BHX),BHX,Ryanair,B38M,EI-IFS,C,FALSE,09:21,Actual,206,Arrival
13-Apr-26,09:35,TK1975,Istanbul (IST),IST,Turkish Airlines,A21N,TC-LTD,C,FALSE,09:12,Actual,114,Arrival
13-Apr-26,09:40,BA826,London (LHR),LHR,British Airways,A320,G-EUYJ,C,FALSE,10:03,Actual,423,Arrival
13-Apr-26,09:40,EI3281,Bristol (BRS),BRS,Aer Lingus Regional,AT76,EI-HPK,B,FALSE,,Actual,410,Arrival
13-Apr-26,09:45,AA132,Dallas (DFW),DFW,American Airlines,B788,N874AN,E,TRUE,09:30,Actual,516,Arrival
13-Apr-26,09:45,UA980,Chicago (ORD),ORD,United Airlines,B788,N20904,E,TRUE,09:15,Actual,518,Arrival
13-Apr-26,09:50,EI401,Rome (FCO),FCO,Aer Lingus,320,,C,FALSE,,Actual,406,Arrival
13-Apr-26,09:50,EA3251,Edinburgh (EDI),EDI,Aer Lingus Regional,AT76,EI-GPN,B,FALSE,09:35,Actual,421,Arrival
13-Apr-26,09:50,EA3391,Leeds (LBA),LBA,Aer Lingus Regional,AT76,EI-FAT,B,FALSE,09:40,Actual,419,Arrival
13-Apr-26,09:50,FR31,London (STN),STN,Ryanair,B738,EI-EKI,C,FALSE,09:33,Actual,208,Arrival
13-Apr-26,09:55,LH2516,Munich (MUC),MUC,Lufthansa,A21N,D-AIEJ,C,FALSE,09:41,Actual,119,Arrival
13-Apr-26,10:00,WS34,Toronto (YYZ),YYZ,WestJet,B38M,C-GCAM,C,TRUE,09:26,Actual,R101,Arrival
13-Apr-26,10:00,EA3351,Newcastle (NCL),NCL,Aer Lingus Regional,AT76,EI-HPJ,B,FALSE,09:53,Actual,419,Arrival
13-Apr-26,10:00,EY45,Abu Dhabi (AUH),AUH,Etihad Airways,B789,A6-BNA,E,FALSE,10:00,Actual,R101,Arrival
13-Apr-26,10:00,FR1949,Luxembourg (LUX),LUX,Ryanair,B738,EI-GXK,C,FALSE,09:58,Actual,202,Arrival
13-Apr-26,10:10,FR535,Nottingham (EMA),EMA,Ryanair,B738,9H-QBJ,C,FALSE,09:46,Actual,209,Arrival
13-Apr-26,10:12,EG981,Manchester (MAN),MAN,Aer Lingus,A333,G-EILA,E,FALSE,10:12,Actual,415,Arrival
13-Apr-26,10:15,EI153,London (LHR),LHR,Aer Lingus,A20N,EI-NSG,C,FALSE,09:51,Actual,416,Arrival
13-Apr-26,10:15,FR113,London (LGW),LGW,Ryanair,B738,9H-QDI,C,FALSE,10:05,Actual,209,Arrival
13-Apr-26,10:15,N/A,Geneva (GVA),GVA,NetJets,C68A,CS-LUD,C,FALSE,10:31,Actual,R110,Arrival
