stand_id,pier,terminal,icao_cat_max,has_airbridge,cbp_eligible,mars_type,mars_family_id,stand_type
50,North,Remote,D,FALSE,FALSE,None,,Remote
51,North,Remote,D,FALSE,FALSE,None,,Remote
52,North,Remote,D,FALSE,FALSE,None,,Remote
53,North,Remote,D,FALSE,FALSE,None,,Remote
101,1,T1,C,FALSE,FALSE,None,,Contact
102,1,T1,C,FALSE,FALSE,None,,Contact
103,1,T1,C,FALSE,FALSE,None,,Contact
104,1,T1,C,FALSE,FALSE,None,,Contact
105,1,T1,C,FALSE,FALSE,None,,Contact
106,1,T1,C,FALSE,FALSE,None,,Contact
107,1,T1,E,FALSE,FALSE,Centre,FAM_P1_107,Contact
108,1,T1,E,FALSE,FALSE,Centre,FAM_P1_108,Contact
109,1,T1,E,FALSE,FALSE,Centre,FAM_P1_109,Contact
110,1,T1,E,FALSE,FALSE,Centre,FAM_P1_110,Contact
111,1,T1,E,FALSE,FALSE,Centre,FAM_P1_111,Contact
112,1,T1,C,FALSE,FALSE,None,,Contact
113,1,T1,C,FALSE,FALSE,None,,Contact
114,1,T1,C,FALSE,FALSE,None,,Contact
115,1,T1,C,FALSE,FALSE,None,,Contact
116,1,T1,C,FALSE,FALSE,None,,Contact
117,1,T1,C,FALSE,FALSE,None,,Contact
118,1,T1,C,FALSE,FALSE,None,,Contact
119,1,T1,E,FALSE,FALSE,Centre,FAM_P1_119,Contact
121,1,T1,C,FALSE,FALSE,None,,Contact
122,1,T1,C,FALSE,FALSE,None,,Contact
123,1,T1,C,FALSE,FALSE,None,,Contact
124,1,T1,C,FALSE,FALSE,None,,Contact
125,1,T1,C,FALSE,FALSE,None,,Contact
126,1,T1,C,FALSE,FALSE,None,,Contact
127,1,T1,C,FALSE,FALSE,None,,Contact
130,Central,Remote,C,FALSE,FALSE,None,,Remote
131,Central,Remote,E,FALSE,FALSE,Centre,FAM_CA_131,Remote
132,Central,Remote,C,FALSE,FALSE,None,,Remote
133,Central,Remote,E,FALSE,FALSE,Centre,FAM_CA_133,Remote
134,Central,Remote,C,FALSE,FALSE,None,,Remote
135,Central,Remote,E,FALSE,FALSE,Centre,FAM_CA_135,Remote
136,Central,Remote,C,FALSE,FALSE,None,,Remote
137,Central,Remote,E,FALSE,FALSE,Centre,FAM_CA_137,Remote
138,Central,Remote,C,FALSE,FALSE,None,,Remote
139,Central,Remote,C,FALSE,FALSE,None,,Remote
140,Central,Remote,C,FALSE,FALSE,None,,Remote
141,Central,Remote,C,FALSE,FALSE,None,,Remote
142,Central,Remote,C,FALSE,FALSE,None,,Remote
143,Central,Remote,C,FALSE,FALSE,None,,Remote
144,Central,Remote,C,FALSE,FALSE,None,,Remote
145,Central,Remote,C,FALSE,FALSE,None,,Remote
146,Central,Remote,C,FALSE,FALSE,None,,Remote
147,Central,Remote,C,FALSE,FALSE,None,,Remote
148,Central,Remote,C,FALSE,FALSE,None,,Remote
149,Central,Remote,C,FALSE,FALSE,None,,Remote
150,Central,Remote,C,FALSE,FALSE,None,,Remote
151,Central,Remote,C,FALSE,FALSE,None,,Remote
152,Central,Remote,C,FALSE,FALSE,None,,Remote
153,Central,Remote,C,FALSE,FALSE,None,,Remote
154,Central,Remote,C,FALSE,FALSE,None,,Remote
155,Central,Remote,C,FALSE,FALSE,None,,Remote
156,Central,Remote,C,FALSE,FALSE,None,,Remote
157,Central,Remote,C,FALSE,FALSE,None,,Remote
158,Central,Remote,C,FALSE,FALSE,None,,Remote
159,Central,Remote,C,FALSE,FALSE,None,,Remote
