Season_Code,Week_In_Year,Week_Start,Terminal,Airline,Airline_Name,Flight_Category,Aircraft_Family,Weekly_Movements,Peak_Day_Movements,Avg_Load_Factor_Pct,Status,Data_type
W24,1,06-01-25,T1,FR,Ryanair,International Short-Haul,B737,704,135,81%,Arrival,Historical
W24,1,06-01-25,T1,FR,Ryanair,International Short-Haul,A320,50,8,79%,Arrival,Historical
W24,1,06-01-25,T1,FR,Ryanair,Domestic,B737,35,7,68%,Arrival,Historical
W24,1,06-01-25,T2,EI,Aer Lingus,International Short-Haul,A320,241,40,82%,Arrival,Historical
W24,1,06-01-25,T2,EI,Aer Lingus,Transatlantic CBP,A330,88,15,85%,Arrival,Historical
W24,1,06-01-25,T2,EI,Aer Lingus,Transatlantic CBP,B787,41,7,86%,Arrival,Historical
W24,1,06-01-25,T2,EI,Aer Lingus,International Long-Haul,A330,9,2,82%,Arrival,Historical
W24,1,06-01-25,T2,RE,Aer Lingus Regional,Domestic,ATR72,81,14,67%,Arrival,Historical
W24,1,06-01-25,T2,RE,Aer Lingus Regional,International Short-Haul,ATR72,56,10,79%,Arrival,Historical
W24,1,06-01-25,T2,BA,British Airways,International Short-Haul,A320,56,10,78%,Arrival,Historical
W24,1,06-01-25,T2,BA,British Airways,International Short-Haul,E-Jet,41,7,78%,Arrival,Historical
W24,1,06-01-25,T1,LH,Lufthansa,International Short-Haul,A320,34,7,81%,Arrival,Historical
W24,1,06-01-25,T1,AF,Air France,International Short-Haul,A320,29,5,81%,Arrival,Historical
W24,1,06-01-25,T1,KL,KLM,International Short-Haul,A320,30,5,80%,Arrival,Historical
W24,1,06-01-25,T1,IB,Iberia,International Short-Haul,A320,18,3,79%,Arrival,Historical
W24,1,06-01-25,T1,VY,Vueling,International Short-Haul,A320,18,3,80%,Arrival,Historical
W24,1,06-01-25,T1,OS,Austrian,International Short-Haul,A320,10,2,82%,Arrival,Historical
W24,1,06-01-25,T1,SK,SAS,International Short-Haul,A320,10,2,82%,Arrival,Historical
W24,1,06-01-25,T1,AY,Finnair,International Short-Haul,A320,8,2,78%,Arrival,Historical
W24,1,06-01-25,T1,TK,Turkish Airlines,International Long-Haul,A320,14,2,81%,Arrival,Historical
W24,1,06-01-25,T1,U2,easyJet,International Short-Haul,A320,40,7,81%,Arrival,Historical
W24,1,06-01-25,T1,W6,Wizz Air,International Short-Haul,A320,34,6,80%,Arrival,Historical
W24,1,06-01-25,T2,AA,American Airlines,Transatlantic CBP,B787,21,4,84%,Arrival,Historical
W24,1,06-01-25,T2,UA,United Airlines,Transatlantic CBP,B787,11,2,85%,Arrival,Historical
W24,1,06-01-25,T2,DL,Delta Air Lines,Transatlantic CBP,A330,5,1,87%,Arrival,Historical
W24,1,06-01-25,T2,AC,Air Canada,Transatlantic CBP,B787,6,1,84%,Arrival,Historical
W24,1,06-01-25,T2,EK,Emirates,International Long-Haul,B777,9,2,83%,Arrival,Historical
W24,1,06-01-25,T2,EY,Etihad,International Long-Haul,A330,5,1,80%,Arrival,Historical
W24,1,06-01-25,T1,5X,UPS,Cargo,B767,4,1,nan%,Arrival,Historical
W24,1,06-01-25,T1,FX,FedEx,Cargo,A320,3,1,nan%,Arrival,Historical
W24,2,13-01-25,T1,FR,Ryanair,International Short-Haul,B737,753,134,79%,Arrival,Historical
W24,2,13-01-25,T1,FR,Ryanair,International Short-Haul,A320,51,9,80%,Arrival,Historical
W24,2,13-01-25,T1,FR,Ryanair,Domestic,B737,39,7,68%,Arrival,Historical
W24,2,13-01-25,T2,EI,Aer Lingus,International Short-Haul,A320,238,39,78%,Arrival,Historical
W24,2,13-01-25,T2,EI,Aer Lingus,Transatlantic CBP,A330,83,15,85%,Arrival,Historical
W24,2,13-01-25,T2,EI,Aer Lingus,Transatlantic CBP,B787,43,8,85%,Arrival,Historical
