Week,PAX
2024-01-01,366414
2024-01-08,356414
2024-01-15,376071
2024-01-22,444574
2024-01-29,413161
2024-02-05,469608
2024-02-12,421294
2024-02-19,444532
2024-02-26,479349
2024-03-04,471060
2024-03-11,512434
2024-03-18,549186
2024-03-25,521696
2024-04-01,610029
2024-04-08,671278
2024-04-15,714793
2024-04-22,742260
2024-04-29,727913
2024-05-06,739257
2024-05-13,767528
2024-05-20,770543
2024-05-27,824554
2024-06-03,790755
2024-06-10,889298
2024-06-17,788513
2024-06-24,891648
2024-07-01,978812
2024-07-08,1004690
2024-07-15,936351
2024-07-22,989002
2024-07-29,939681
2024-08-05,975999
2024-08-12,1011433
2024-08-19,1031143
2024-08-26,1071205
2024-09-02,969188
2024-09-09,857309
2024-09-16,852141
2024-09-23,883862
2024-09-30,777896
2024-10-07,735370
2024-10-14,745854
2024-10-21,674402
2024-10-28,649946
2024-11-04,646346
2024-11-11,562754
2024-11-18,532006
2024-11-25,501021
2024-12-02,479042
2024-12-09,537910
2024-12-16,530595
2024-12-23,479118
2024-12-30,459410
2025-01-06,429926
2025-01-13,435275
2025-01-20,450469
2025-01-27,456323
2025-02-03,469109
2025-02-10,463498
2025-02-17,568915
2025-02-24,500366
2025-03-03,544459
2025-03-10,595027
2025-03-17,786098
2025-03-24,648899
2025-03-31,681040
2025-04-07,697036
2025-04-14,808536
2025-04-21,761316
2025-04-28,705949
2025-05-05,754615
2025-05-12,724487
2025-05-19,752969
2025-05-26,743363
2025-06-02,800519
2025-06-09,817136
2025-06-16,873240
2025-06-23,903422
2025-06-30,940645
2025-07-07,947476
2025-07-14,973066
2025-07-21,1003080
2025-07-28,974606
2025-08-04,989437
2025-08-11,966222
2025-08-18,1001106
2025-08-25,1002887
2025-09-01,959448
2025-09-08,838139
2025-09-15,810373
2025-09-22,784002
2025-09-29,771575
2025-10-06,697273
2025-10-13,663436
2025-10-20,752768
2025-10-27,733177
2025-11-03,526192
2025-11-10,493960
2025-11-17,502999
2025-11-24,529838
2025-12-01,568331
2025-12-08,601730
2025-12-15,850682
2025-12-22,846224
2025-12-29,576446
